Date,Open,High,Low,Close,Adj Close,Volume
2012-10-15,22.610001,22.785000,22.610001,22.780001,18.392937,12658
2012-10-16,22.799999,22.855000,22.510000,22.700001,18.328339,8935
2012-10-17,22.590000,22.590000,22.225000,22.500000,18.166862,16952
2012-10-18,22.605000,22.690001,22.500000,22.549999,18.207235,16438
2012-10-19,22.270000,22.309999,21.910000,22.065001,17.815638,32053
2012-10-22,22.049999,22.205000,21.469999,21.514999,17.371557,40493
2012-10-23,21.450001,21.650000,21.205000,21.639999,17.472483,62472
2012-10-24,21.695000,21.750000,21.575001,21.575001,17.420002,11927
2012-10-25,21.650000,21.795000,21.500000,21.545000,17.395775,28949
2012-10-26,21.540001,21.730000,21.410000,21.730000,17.545149,93208
2012-10-29,21.820000,21.980000,21.809999,21.940001,17.714712,48343
2012-10-30,21.965000,22.090000,21.924999,22.090000,17.835823,34607
2012-10-31,22.049999,22.184999,21.900000,22.090000,17.835823,35187
2012-11-02,22.950001,23.230000,22.820000,23.075001,18.631128,29952
2012-11-05,23.100000,23.209999,22.980000,23.150000,18.691679,16076
2012-11-06,23.250000,23.379999,23.180000,23.309999,18.820860,16229
2012-11-07,23.309999,23.379999,22.920000,22.920000,18.505978,23488
2012-11-08,22.900000,22.969999,22.799999,22.895000,18.485792,8379
2012-11-09,22.760000,22.915001,22.590000,22.764999,18.380825,17778
2012-11-12,22.750000,22.875000,22.250000,22.285000,17.993267,12367
2012-11-13,22.010000,22.059999,21.080000,21.445000,17.495604,77227
2012-11-14,21.480000,21.490000,21.299999,21.440001,17.491524,13140
2012-11-15,21.139999,21.195000,20.900000,20.905001,17.055054,17124
2012-11-16,20.900000,21.090000,20.780001,20.840000,17.002026,14321
2012-11-19,20.809999,21.000000,20.709999,20.910000,17.059132,24885
2012-11-20,20.950001,20.980000,20.700001,20.805000,16.973465,11686
2012-11-21,20.885000,21.014999,20.815001,20.990000,17.124405,14739
2012-11-22,21.080000,21.260000,21.000000,21.260000,17.344677,17950
2012-11-23,21.139999,21.410000,20.850000,21.305000,17.381392,30130
2012-11-26,21.370001,21.370001,21.030001,21.094999,17.210062,15092
2012-11-27,21.190001,21.250000,20.980000,21.059999,17.181511,11638
2012-11-28,21.070000,21.105000,20.840000,20.985001,17.120323,19992
2012-11-29,21.270000,21.340000,20.905001,20.985001,17.120323,27196
2012-11-30,20.760000,20.860001,20.459999,20.545000,16.761349,20524
2012-12-03,20.490000,20.590000,20.254999,20.385000,16.630823,27082
2012-12-04,20.250000,20.344999,20.165001,20.209999,16.488047,19747
2012-12-05,20.200001,20.280001,20.100000,20.205000,16.483974,12377
2012-12-06,20.500000,20.705000,20.465000,20.705000,16.891886,17323
2012-12-07,20.740000,20.850000,20.400000,20.530001,16.749119,10857
2012-12-10,20.575001,20.870001,20.405001,20.820000,16.985712,15373
2012-12-11,20.850000,21.165001,20.775000,21.129999,17.238615,24568
2012-12-12,21.080000,21.160000,20.965000,20.995001,17.128483,11249
2012-12-13,20.905001,21.000000,20.775000,20.815001,16.981632,13674
2012-12-14,20.750000,20.844999,20.500000,20.500000,16.724642,24247
2012-12-17,20.480000,20.520000,20.309999,20.520000,16.740961,9673
2012-12-18,20.719999,20.775000,20.600000,20.754999,16.932676,14872
2012-12-19,20.850000,20.850000,20.674999,20.735001,16.916363,17353
2012-12-20,20.700001,20.754999,20.480000,20.740000,16.920443,10973
2012-12-21,20.799999,20.799999,20.549999,20.745001,16.924520,9077
2012-12-27,20.379999,20.405001,20.200001,20.250000,16.520679,17552
2012-12-28,20.254999,20.465000,20.209999,20.379999,16.626738,3628
2013-01-02,20.290001,20.665001,20.205000,20.665001,16.859257,18723
2013-01-03,20.940001,21.150000,20.940001,20.950001,17.091770,17170
2013-01-04,21.070000,21.070000,20.555000,20.684999,16.875570,22575
2013-01-07,20.510000,20.650000,20.410000,20.514999,16.736881,31813
2013-01-08,20.389999,20.500000,20.270000,20.330000,16.585951,27091
2013-01-09,20.389999,20.530001,20.309999,20.455000,16.687925,21382
2013-01-10,20.410000,20.430000,20.000000,20.094999,16.394228,62845
2013-01-11,19.969999,20.049999,19.645000,19.934999,16.263693,47400
2013-01-14,20.190001,20.219999,20.100000,20.139999,16.430941,27808
2013-01-15,20.170000,20.299999,20.070000,20.240000,16.512522,20474
2013-01-16,20.500000,20.500000,20.400000,20.465000,16.696089,18187
2013-01-17,20.379999,20.480000,20.200001,20.480000,16.708324,23389
2013-01-18,20.455000,20.455000,20.280001,20.389999,16.634899,13783
2013-01-21,20.549999,20.575001,20.405001,20.500000,16.724642,27675
2013-01-22,20.500000,20.600000,20.379999,20.379999,16.626738,20316
2013-01-23,20.500000,20.790001,20.400000,20.790001,16.961231,51384
2013-01-24,20.750000,21.040001,20.600000,21.010000,17.140717,52589
2013-01-25,20.469999,20.934999,20.219999,20.825001,16.989790,39569
2013-01-28,20.790001,20.950001,20.700001,20.889999,17.042820,63540
2013-01-29,20.834999,20.834999,20.500000,20.735001,16.916363,25045
2013-01-30,20.760000,20.879999,20.580000,20.705000,16.891886,25960
2013-01-31,20.570000,20.600000,20.270000,20.270000,16.537001,28604
2013-02-01,20.260000,20.445000,20.209999,20.340000,16.594110,14868
2013-02-04,20.549999,20.650000,20.360001,20.485001,16.712402,19736
2013-02-05,20.469999,20.469999,20.264999,20.264999,16.532915,13643
2013-02-06,20.385000,20.385000,20.260000,20.350000,16.602268,14501
2013-02-07,20.250000,20.344999,20.110001,20.240000,16.512522,14654
2013-02-08,20.340000,20.690001,20.340000,20.600000,16.806225,9559
2013-02-11,20.670000,20.735001,20.600000,20.719999,16.904119,13707
2013-02-12,20.860001,20.860001,20.629999,20.665001,16.859257,12693
2013-02-13,20.799999,20.889999,20.700001,20.850000,17.010185,12708
2013-02-14,20.980000,21.040001,20.879999,20.980000,17.116243,17671
2013-02-15,20.995001,21.094999,20.865000,20.934999,17.079535,5215
2013-02-18,21.045000,21.045000,20.915001,20.969999,17.108084,8586
2013-02-19,20.940001,21.004999,20.809999,20.900000,17.240065,13073
2013-02-20,20.990000,21.059999,20.900000,20.900000,17.240065,15216
2013-02-21,20.930000,21.254999,20.740000,20.775000,17.136953,21067
2013-02-22,20.799999,21.000000,20.799999,20.969999,17.297804,15157
2013-02-25,21.020000,21.090000,20.924999,21.004999,17.326677,12584
2013-02-26,21.010000,21.049999,20.920000,21.049999,17.363792,9754
2013-02-27,20.820000,21.200001,20.820000,21.125000,17.425667,14813
2013-02-28,21.200001,21.334999,21.150000,21.240000,17.520529,16294
2013-03-01,21.299999,21.500000,21.170000,21.365000,17.623638,14921
2013-03-04,21.410000,21.455000,21.315001,21.405001,17.656635,9254
2013-03-05,21.600000,21.915001,21.565001,21.799999,17.982458,16299
2013-03-06,21.799999,21.815001,21.445000,21.510000,17.743235,28512
2013-03-07,21.570000,21.660000,21.400000,21.510000,17.743235,12134
